City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Rating color,Rating text,Aggregate rating
Faridabad,"North Indian, Continental, Chinese",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.3
New Delhi,Fast Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.0
Noida,"Mithai, Street Food",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Desserts, North Indian",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"North Indian, Mughlai",0.7777777777777777,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.5
Noida,Cafe,0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Ojo Caliente,"American, International, Southwestern",0.0,Dollar($),No,No,No,No,1.0,Yellow,Good,3.6
Tampa Bay,"Mexican, Vegetarian",0.0,Dollar($),No,No,No,No,0.0,Dark Green,Excellent,4.5
Gurgaon,"Continental, Finger Food",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.4
New Delhi,South Indian,0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.6
New Delhi,North Indian,0.5555555555555556,Indian Rupees(Rs.),Yes,No,No,No,1.0,White,Not rated,0.0
New Delhi,"Bakery, Desserts",0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"North Indian, Chinese",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"North Indian, Chinese",1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Orange,Average,3.1
New Delhi,Cafe,0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.4
New Delhi,North Indian,0.6666666666666667,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.1
S��o Paulo,"Lebanese, Arabian",0.0,Brazilian Real(R$),No,No,No,No,1.0,Green,Very Good,4.1
Gurgaon,"Fast Food, Chinese",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
