City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text
Faridabad,"North Indian, Continental, Chinese",1900,Indian Rupees(Rs.),Yes,No,No,No,3,3.3,Orange,Average
New Delhi,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average
Noida,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Desserts, North Indian",250,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,2.5,Orange,Average
Noida,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Ojo Caliente,"American, International, Southwestern",40,Dollar($),No,No,No,No,3,3.6,Yellow,Good
Tampa Bay,"Mexican, Vegetarian",10,Dollar($),No,No,No,No,1,4.5,Dark Green,Excellent
Gurgaon,"Continental, Finger Food",3000,Indian Rupees(Rs.),Yes,No,No,No,4,3.4,Orange,Average
New Delhi,South Indian,400,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good
New Delhi,North Indian,500,Indian Rupees(Rs.),Yes,No,No,No,2,0.0,White,Not rated
New Delhi,"Bakery, Desserts",350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"North Indian, Chinese",950,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.1,Orange,Average
New Delhi,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average
New Delhi,North Indian,550,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average
S��o Paulo,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good
Gurgaon,"Fast Food, Chinese",200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"North Indian, Chinese, Biryani",500,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average
New Delhi,"Italian, Continental, Finger Food",3000,Indian Rupees(Rs.),Yes,No,No,No,4,3.3,Orange,Average
New Delhi,"Mithai, North Indian, Chinese, Street Food",250,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average
Gurgaon,"Bakery, Desserts, Fast Food",150,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average
Noida,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Coimbatore,"Continental, Fast Food, Desserts, Indian",450,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good
New Delhi,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average
New Delhi,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good
Gurgaon,"North Indian, Continental, Chinese",1500,Indian Rupees(Rs.),Yes,No,No,No,3,2.8,Orange,Average
New Delhi,Mughlai,450,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good
New Delhi,Chinese,500,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good
New Delhi,"Continental, Kerala",1400,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.5,Dark Green,Excellent
New Delhi,"North Indian, Bengali",700,Indian Rupees(Rs.),No,Yes,No,No,2,2.7,Orange,Average
New Delhi,Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Continental, Mexican, Burger, American, Pizza, Tex-Mex",1300,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good
Augusta,"Italian, Pizza, Sandwich",25,Dollar($),No,No,No,No,2,4.4,Green,Very Good
New Delhi,Continental,800,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.8,Yellow,Good
Gurgaon,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average
New Delhi,"Italian, Continental, European, Cafe",1500,Indian Rupees(Rs.),No,No,No,No,3,4.4,Green,Very Good
New Delhi,"Cafe, Italian, Continental, Chinese",850,Indian Rupees(Rs.),No,Yes,No,No,2,4.4,Green,Very Good
New Delhi,North Indian,1500,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good
New Delhi,"North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average
New Delhi,"American, Fast Food",1000,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good
Gurgaon,"North Indian, Mughlai, Chinese",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good
New Delhi,South Indian,250,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
New Delhi,"Bakery, Desserts",500,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average
Surat,"Lebanese, Italian",650,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good
New Delhi,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average
Lucknow,"Continental, North Indian, Asian",1000,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good
New Delhi,"Pizza, Fast Food",450,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average
New Delhi,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good
