City,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Rating color,Rating text
Faridabad,1900,Indian Rupees(Rs.),Yes,No,No,No,3,Orange,Average
New Delhi,100,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
Noida,100,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
New Delhi,250,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
New Delhi,600,Indian Rupees(Rs.),No,No,No,No,2,Orange,Average
Noida,450,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
Ojo Caliente,40,Dollar($),No,No,No,No,3,Yellow,Good
Tampa Bay,10,Dollar($),No,No,No,No,1,Dark Green,Excellent
Gurgaon,3000,Indian Rupees(Rs.),Yes,No,No,No,4,Orange,Average
New Delhi,400,Indian Rupees(Rs.),No,No,No,No,1,Yellow,Good
New Delhi,500,Indian Rupees(Rs.),Yes,No,No,No,2,White,Not rated
New Delhi,350,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
New Delhi,400,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
New Delhi,950,Indian Rupees(Rs.),Yes,Yes,No,No,2,Orange,Average
New Delhi,450,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
New Delhi,550,Indian Rupees(Rs.),No,No,No,No,2,Orange,Average
S��o Paulo,120,Brazilian Real(R$),No,No,No,No,4,Green,Very Good
Gurgaon,200,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
New Delhi,500,Indian Rupees(Rs.),No,No,No,No,2,Orange,Average
New Delhi,3000,Indian Rupees(Rs.),Yes,No,No,No,4,Orange,Average
New Delhi,250,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
Gurgaon,150,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
Noida,200,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
Coimbatore,450,Indian Rupees(Rs.),No,No,No,No,2,Yellow,Good
New Delhi,100,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
New Delhi,100,Indian Rupees(Rs.),No,No,No,No,1,Yellow,Good
Gurgaon,1500,Indian Rupees(Rs.),Yes,No,No,No,3,Orange,Average
New Delhi,450,Indian Rupees(Rs.),No,No,No,No,1,Yellow,Good
New Delhi,500,Indian Rupees(Rs.),No,No,No,No,2,Yellow,Good
New Delhi,1400,Indian Rupees(Rs.),Yes,Yes,No,No,3,Dark Green,Excellent
New Delhi,700,Indian Rupees(Rs.),No,Yes,No,No,2,Orange,Average
New Delhi,100,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
New Delhi,1300,Indian Rupees(Rs.),Yes,No,No,No,3,Green,Very Good
Augusta,25,Dollar($),No,No,No,No,2,Green,Very Good
New Delhi,800,Indian Rupees(Rs.),Yes,Yes,No,No,2,Yellow,Good
Gurgaon,600,Indian Rupees(Rs.),No,No,No,No,2,Orange,Average
New Delhi,1500,Indian Rupees(Rs.),No,No,No,No,3,Green,Very Good
New Delhi,850,Indian Rupees(Rs.),No,Yes,No,No,2,Green,Very Good
New Delhi,1500,Indian Rupees(Rs.),Yes,No,No,No,3,Green,Very Good
New Delhi,400,Indian Rupees(Rs.),No,Yes,No,No,1,Orange,Average
New Delhi,1000,Indian Rupees(Rs.),No,No,No,No,3,Green,Very Good
Gurgaon,550,Indian Rupees(Rs.),No,Yes,No,No,2,Yellow,Good
New Delhi,250,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
New Delhi,500,Indian Rupees(Rs.),No,No,No,No,2,Orange,Average
Surat,650,Indian Rupees(Rs.),No,No,No,No,2,Green,Very Good
New Delhi,500,Indian Rupees(Rs.),No,No,No,No,2,Orange,Average
Lucknow,1000,Indian Rupees(Rs.),No,No,No,No,3,Yellow,Good
New Delhi,450,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
New Delhi,150,Indian Rupees(Rs.),No,No,No,No,1,Yellow,Good
New Delhi,150,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
New Delhi,200,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
New Delhi,200,Indian Rupees(Rs.),No,No,No,No,1,Yellow,Good
Vadodara,1500,Indian Rupees(Rs.),No,No,No,No,4,Green,Very Good
New Delhi,600,Indian Rupees(Rs.),No,No,No,No,2,Orange,Average
New Delhi,300,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
Colombo,2000,Sri Lankan Rupee(LKR),No,No,No,No,3,Yellow,Good
Noida,250,Indian Rupees(Rs.),No,No,No,No,1,White,Not rated
Noida,600,Indian Rupees(Rs.),No,Yes,No,No,2,Orange,Average
Noida,400,Indian Rupees(Rs.),No,No,No,No,1,Orange,Average
New Delhi,550,Indian Rupees(Rs.),No,No,No,No,2,Yellow,Good
Gurgaon,2500,Indian Rupees(Rs.),Yes,No,No,No,4,Orange,Average
Aurangabad,350,Indian Rupees(Rs.),No,No,No,No,2,Orange,Average
Noida,450,Indian Rupees(Rs.),No,Yes,No,No,1,Orange,Average
